Date;Déficit;Dépenses_totales;Recettes_totales;Salaires_fonctionnaires;Price_index;Charge_interet;GDP;GDP_deflator;G 
2006T3;-12.36914712;245.173;232.804;58.41;102.5;12.055;463913.0;90.2209278626045;123.605
2006T4;-8.462521441;247.594;239.131;58.828;102.6;11.882;470924.0;90.8994808017841;124.919
2007T1;-12.40130171;250.816;238.414;59.491;103.1;12.33;476954.0;91.3415028285564;126.348
2007T2;-11.88492415;253.772;241.887;60.034;103.7;12.703;483490.0;91.8974800209826;127.538
2007T3;-12.60659272;256.511;243.904;60.393;104.4;13.244;488774.0;92.5790594547376;128.783
2007T4;-14.40490087;259.504;245.099;60.658;105.3;13.953;493278.0;93.2236637707523;129.575
2008T1;-13.6496565;261.82;248.171;60.984;106.1;14.557;499117.0;93.9021399915903;130.418
2008T2;-13.67036032;263.111;249.441;61.459;107;14.64;499723.0;94.4382996915161;131.235
2008T3;-14.16667102;266.764;252.597;61.843;107.3;14.419;498748.0;94.569304035663;132.54
2008T4;-23.30831692;269.943;246.635;62.335;106.7;13.715;493330.0;94.8911139721686;133.753
2009T1;-33.22579727;270.957;237.732;62.752;106.1;12.975;484541.0;94.7553020163317;134.905
2009T2;-32.15248116;275.79;243.638;63.192;105.9;12.172;482334.0;94.4122496373493;136.458
2009T3;-38.77494892;278.506;239.731;63.828;106;11.999;482337.0;94.2522485371265;137.927
2009T4;-34.76365396;281.426;246.663;64.334;106.3;12.105;487712.0;94.6441745398911;139.435
2010T1;-37.74858572;281.923;244.174;64.63;106.8;12.339;491430.0;94.9983716898304;139.524
2010T2;-35.05940879;283.08;248.021;64.769;107.2;12.36;495901.0;95.3700317731192;140.054
2010T3;-33.44676566;284.49;251.043;65.098;107.5;12.676;501004.0;95.7847797455105;140.747
2010T4;-30.8530947;285.162;254.309;65.347;107.8;13.052;505303.0;95.931478000167;140.961
2011T1;-27.80102142;287.197;259.396;65.506;108.508;13.441;511404.0;96.0876585432024;141.527
2011T2;-27.74995426;288.843;261.093;65.757;108.937;13.778;512879.0;96.3075157756397;142.131
2011T3;-25.35471243;290.364;265.01;66.039;109.163;14.22;515197.0;96.5162089292329;142.814
2011T4;-25.12580816;292.192;267.066;66.332;109.503;14.265;518108.0;96.798044329574;143.799
2012T1;-27.79763881;294.817;267.02;66.632;110.088;14.043;520340.0;97.1359473247316;145.064
2012T2;-28.24598528;296.801;268.555;67.016;110.291;13.941;521321.0;97.4905436764434;145.856
2012T3;-26.2657143;298.27;272.005;67.331;110.423;13.55;523568.0;97.720103224931;146.722
2012T4;-21.84275542;303.085;281.242;67.513;110.616;13.15;523974.0;97.8599151694729;147.287
2013T1;-23.18610724;300.784;277.598;67.756;110.991;12.603;525533.0;98.1885988035821;147.895
2013T2;-21.95409057;302.111;280.157;68.111;110.997;12.283;529901.0;98.3291989685554;148.69
2013T3;-20.34317836;303.493;283.15;68.427;111.172;12.078;530012.0;98.3479989092268;149.037
2013T4;-21.11732043;305.364;284.247;68.818;111.142;11.909;532506.0;98.3557424439615;149.295
2014T1;-19.3212938;305.665;286.344;69.151;111.357;11.897;534929.0;98.7326127858296;149.433
2014T2;-20.90167081;306.543;285.641;69.475;111.259;11.681;535886.0;98.7433677959076;149.462
2014T3;-21.75616844;308.452;286.696;69.797;111.23;11.495;538852.0;98.8120355203151;149.697
2014T4;-22.06521582;309.406;287.341;70.08;111.213;11.369;541515.0;99.2035753842107;149.803
2015T1;-21.56216449;311.882;290.32;70.181;111.226;11.215;546493.0;99.6709225472681;149.735
2015T2;-20.29099129;311.835;291.544;70.28;111.591;11.114;547097.0;99.8285125300273;148.809
2015T3;-20.71068914;312.888;292.177;70.384;111.526;10.709;551239.0;100.150979325623;149.609
2015T4;-17.0920087;312.006;294.914;70.455;111.463;10.772;553556.0;100.357161048699;150.08
2016T1;-20.16652437;314.354;294.187;70.478;111.316;10.482;558250.0;100.57273489948;150.325
2016T2;-19.38215099;315.163;295.781;70.684;111.513;10.205;555963.0;100.461618846888;150.735
2016T3;-20.92519046;316.601;295.675;71.207;111.677;10.28;557512.0;100.511763416791;151.641
2016T4;-18.61871888;318.143;299.525;71.615;111.883;10.121;561126.0;100.537432018643;152.552
2017T1;-17.75883871;319.592;301.833;72.188;112.535;9.997;567434.0;100.845391399597;153.947
2017T2;-14.82559383;320.969;306.144;72.629;112.505;9.892;572188.0;101.010258629899;154.702
2017T3;-18.22047999;326.889;308.669;72.913;112.51;10.067;576218.0;101.03786328724;155.583
2017T4;-13.08016321;326.789;313.708;73.074;112.906;9.864;580671.0;101.032088394439;156.326
2018T1;-13.30985512;328.637;315.327;73.347;113.437;10.063;584175.0;101.403201089828;156.746
2018T2;-14.45315036;328.359;313.906;73.452;113.83;10.365;586061.0;101.570249215211;157.399
2018T3;-16.67708608;329.644;312.967;73.577;114.115;10.01;589761.0;101.916444207432;157.933
2018T4;-15.23635088;332.121;316.885;73.803;114.256;9.848;594473.0;102.227970438188;158.88
2019T1;-20.67065155;333.461;312.79;74.069;114.464;9.552;599741.0;102.798323099811;159.498
2019T2;-20.20047272;334.589;314.388;74.426;114.829;9.105;603961.0;103.142679874925;160.533
